Pool Name,Pool Address,Stake Token,Stake Token Address,Earn Token1,Earn Token 1 Address,Earn Token2,Earn Token 2 Address,Earn Token3,Earn Token 3 Address
TrueFi USDT Pool v4,0xec6c3FD795D6e6f202825Ddb56E01b3c128b0b10,TrueFi Tether USD,0x6002b1dcb26e7b1aa797a17551c6f487923299d7,TrueFi,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,,,,
TrueFi USDC Pool v4,0xec6c3FD795D6e6f202825Ddb56E01b3c128b0b10,TrueFi USD Coin,0xa991356d261fbaf194463af6df8f0464f8f1c742,TrueFi,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,,,,
TrueFi TUSD Pool v4,0xec6c3FD795D6e6f202825Ddb56E01b3c128b0b10,TrueFi TrueUSD,0x97ce06c3e3d027715b2d6c22e67d5096000072e5,TrueFi,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,,,,
TrueFi USDT Pool v3,0xC06E16D2Fbe2b9Fe088a615f23cb20898745Dc6D,TrueFi Tether USD,0x6002b1dcb26e7b1aa797a17551c6f487923299d7,TrueFi,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,,,,
TrueFi USDC Pool v3,0x6b6a4eaba8ba12765df51a859c0fa75894817f5a,TrueFi USD Coin,0xa991356d261fbaf194463af6df8f0464f8f1c742,TrueFi,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,,,,
TrueFi TUSD Pool v3,0x8FD832757F58F71BAC53196270A4a55c8E1a29D9,TrueFi TrueUSD,0x97ce06c3e3d027715b2d6c22e67d5096000072e5,TrueFi,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,,,,
Uniswap ETH/TRU,0xED45Cf4895C110f464cE857eBE5f270949eC2ff4,Uniswap TRU/ETH LP,0xec6a6b7db761a5c9910ba8fcab98116d384b1b85,TrueFi,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,,,,
Uniswap TUSD/tfTUSD,0xf8F14Fbb93fa0cEFe35Acf7e004fD4Ef92d8315a,Uniswap TUSD/TFI LP,0xac08f19b13548d55294bcefcf751d81ea65845d5,TrueFi,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,,,,
