address,name,description
0xd5103afcd0b3fa865997ef2984c66742c51b2a8b,Cream Huobi FIL,Cream Huobi FIL
0x81e346729723c4d15d0fb1c5679b9f2926ff13c6,Cream Bancor Network Token,Cream Bancor Network Token
0xc68251421edda00a10815e273fa4b1191fac651b,Cream PickleToken,Cream PickleToken
0xd7394428536f63d5659cc869ef69d10f9e66314b,Cream Paxos Standard,Cream Paxos Standard
0x98e329eb5aae2125af273102f3440de19094b77c,Cream TrustSwap Token,Cream TrustSwap Token
0x5ecad8a75216cea7dff978525b2d523a251eea92,Cream SushiSwap LP Token USDC-ETH,Cream SushiSwap LP Token USDC-ETH
0x8c3b7a4320ba70f8239f83770c4015b5bc4e6f91,Cream Fei USD,Cream Fei USD
0xa87e8e61dfac8af5944d353cd26b96b20d5f4d01,Cream eCRV yVault,Cream eCRV yVault
0x1bcafa2c1b3a522e41baa60c2e318981ea8d1eb5,Cream steCRV yVault,Cream steCRV yVault
0xf8445c529d363ce114148662387eba5e62016e20,Cream Rai Reflex Index,Cream Rai Reflex Index
0x011a014d5e8eb4771e575bb1000318d509230afa,Cream Uniswap V2 WBTC-ETH,Cream Uniswap V2 WBTC-ETH
0xc581b735a1688071a1746c968e0798d642ede491,Euro Tether,Euro Tether
0xd532944df6dfd5dd629e8772f03d4fc861873abf,Cream SushiSwap LP Token YFI-ETH,Cream SushiSwap LP Token YFI-ETH
0x44fbebd2f576670a6c33f6fc0b00aa8c5753b322,Cream USD Coin,Cream USD Coin
0xe585c76573d7593abf21537b607091f76c996e73,Cream Wootrade Network,Cream Wootrade Network
0x2a867fd776b83e1bd4e13c6611afd2f6af07ea6d,Cream Interest-Bearing BTC,Cream Interest-Bearing BTC
0x28526bb33d7230e65e735db64296413731c5402e,Cream Spice,Cream Spice
0xc25eae724f189ba9030b2556a1533e7c8a732e14,Cream Synthetix Network Token,Cream Synthetix Network Token
0x797aab1ce7c01eb727ab980762ba88e7133d2157,Cream USDT,Cream USDT
0xc36080892c64821fa8e396bc1bd8678fa3b82b17,Cream Fantom Token,Cream Fantom Token
0x5c291bc83d15f71fb37805878161718ea4b6aee9,Cream SushiSwap LP Token ETH-USDT,Cream SushiSwap LP Token ETH-USDT
0x65883978ada0e707c3b2be2a6825b1c4bdf76a90,Cream Akropolis,Cream Akropolis
0x45406ba53bb84cd32a58e7098a2d4d1b11b107f6,Cream yvCurve-IronBank,Cream yvCurve-IronBank
0x6d1b9e01af17dd08d6dec08e210dfd5984ff1c20,Cream yvCurve-sETH,Cream yvCurve-sETH
0xe89a6d0509faf730bd707bf868d9a2a744a363c7,Cream Uniswap,Cream Uniswap
0x59089279987dd76fc65bf94cb40e186b96e03cb3,Cream OriginToken,Cream OriginToken
0x9baf8a5236d44ac410c0186fe39178d5aad0bb87,Cream yCRV,Cream yCRV
0x3225e3c669b39c7c8b3e204a8614bb218c5e31bc,Cream AAVE Token,Cream AAVE Token
