address,name,description
0x2a38b9b0201ca39b17b460ed2f11e4929559071e,yvCurve-GUSD 0.3.5,yvCurve-GUSD
0x4b5bfd52124784745c1071dcb244c6688d2533d3,yUSD 0.3.5,yUSD
0x84e13785b5a27879921d6f685f041421c7f482da,yvCurve-3pool 0.3.5,yvCurve-3pool
0xf8768814b88281de4f532a3beefa5b85b69b9324,yvCurve-TUSD 0.3.5,yvCurve-TUSD
0x6ede7f19df5df6ef23bd5b9cedb651580bdf56ca,yvCurve-BUSD 0.3.5,yvCurve-BUSD
0x30fcf7c6cdfc46ec237783d94fc78553e79d4e9c,yvCurve-DUSD 0.3.5,yvCurve-DUSD
0x1c6a9783f812b3af3abbf7de64c3cd7cc7d1af44,yvCurve-UST 0.3.5,yvCurve-UST
0x8cc94ccd0f3841a468184aca3cc478d2148e1757,yvCurve-mUSD 0.3.5,yvCurve-mUSD
0xa5ca62d95d24a4a350983d5b8ac4eb8638887396,yvsUSD 0.3.3,yvsUSD
0xf29ae508698bdef169b89834f76704c3b205aedf,yvSNX 0.3.5,yvSNX
0x5a770dbd3ee6baf2802d29a901ef11501c44797a,yvCurve-sUSD 0.3.5,yvCurve-sUSD
0xf2db9a7c0acd427a680d640f02d90f6186e71725,yvCurve-LINK 0.3.5,yvCurve-LINK
0x3b96d491f067912d18563d56858ba7d6ec67a6fa,yvCurve-USDN 0.3.5,yvCurve-USDN
0xc4daf3b5e2a9e93861c3fbdd25f1e943b8d87417,yvCurve-USDP 0.3.5,yvCurve-USDP
0xa74d4b67b3368e83797a35382afb776baae4f5c8,yvCurve-alUSD 0.3.5,yvCurve-alUSD
0xbfedbcbe27171c418cdabc2477042554b1904857,yvCurve-rETH 0.3.5,yvCurve-rETH
0x132d8d2c76db3812403431facb00f3453fc42125,yvCurve-ankrETH 0.3.5,yvCurve-ankrETH
0x39caf13a104ff567f71fd2a4c68c026fdb6e740b,yvCurve-Aave 0.3.5,yvCurve-Aave
0x054af22e1519b020516d72d749221c24756385c9,yvCurve-HUSD 0.3.5,yvCurve-HUSD
0x25212df29073fffa7a67399acefc2dd75a831a1a,yvCurve-EURS 0.3.5,yvCurve-EURS
0x671a912c10bba0cfa74cfc2d6fba9ba1ed9530b2,yvLINK 0.4.2,yvLINK
0x873fb544277fd7b977b196a826459a69e27ea4ea,yvRAI 0.4.2,yvRAI
0xa258c4606ca8206d8aa700ce2143d7db854d168c,yvWETH 0.4.2,yvWETH
0x3d980e50508cfd41a13837a60149927a11c03731,yvCurve-triCrypto 0.4.2,yvCurve-triCrypto
0x80bbee2fa460da291e796b9045e93d19ef948c6a,yvCurve-Pax 0.3.5,yvCurve-Pax
0x28a5b95c101df3ded0c0d9074db80c438774b6a9,yvCurve-USDT 0.3.5,yvCurve-USDT
0x3d27705c64213a5dcd9d26880c1bcfa72d5b6b0e,yvCurve-USDK 0.3.5,yvCurve-USDK
0xc116df49c02c5fd147de25baa105322ebf26bd97,yvCurve-RSV 0.3.5,yvCurve-RSV
0xda816459f1ab5631232fe5e97a05bbbb94970c95,yvDAI 0.4.3,yvDAI
0xe537b5cc158eb71037d4125bdd7538421981e6aa,yvCurve-3Crypto 0.4.3,yvCurve-3Crypto
0xd9788f3931ede4d5018184e198699dc6d66c1915,yvAAVE 0.4.3,yvAAVE
0x4a3fe75762017db0ed73a71c9a06db7768db5e66,yvCOMP 0.4.3,yvCOMP
0x6d765cbe5bc922694afe112c140b8878b9fb0390,yvSUSHI 0.4.3,yvSUSHI
0xfd0877d9095789caf24c98f7cce092fa8e120775,yvTUSD 0.4.3,yvTUSD
0x0d4ea8536f9a13e4fba16042a46c30f092b06aa5,yvCurve-EURT 0.4.3,yvCurve-EURT
