Pool Name,Pool Address,Stake Token Address,Stake Token,Earn Token1,Earn Token 1 Address,Earn Token2,Earn Token 2 Address,Earn Token3,Earn Token 3 Address
ALCX/ETH,0xab8e74017a8cc7c15ffccd726603790d26d7deca,0xd1397aab5142a54b77b4f598f517ed421a68a325,ALCX/ETH,ALCX,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,,
alUSD3CRV,0xab8e74017a8cc7c15ffccd726603790d26d7deca,0x43b4fdfd4ff969587185cdb6f0bd875c5fc83f8c,alUSD3CRV,ALCX,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,,
ALCX,0xab8e74017a8cc7c15ffccd726603790d26d7deca,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,ALCX,ALCX,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,,,,
alETH,0xab8e74017a8cc7c15ffccd726603790d26d7deca,0x0100546f2cd4c9d97f798ffc9755e47865ff7ee6,alETH,ALCX,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,,,,
