contract_address,decimals,symbol
0x3965e8778e555608af5b1956f6ffb1f0003fc3d0,18,GRAIN
0x3045d1a840364c3657b8df6c6f86a4359c23472b,18,ORI
0x32ed23b9d263138695168850ac04609f6e5e0ab4,18,BAKECOIN
0x39a7dac3546d37c1f4a05e711bbb5c0ccac2d3bb,4,PrinceFloki
0x37a4b859cb0ae8e72cb674fb6dc7c6061fa3324b,9,ShibaZillaInu
0x31d0a7ada4d4c131eb612db48861211f63e57610,18,START
0x3780e00d4c60887af38345ccd44f7617dbfb10a0,9,Doge2
0x422603d04d5960d66c6f59dd95e26f9dcf3607a1,18,BHUNT
0x4197361c010c500017cfc35fdb9b5ba418dcfff4,9,MONVERSE
0x44754455564474a89358b2c2265883df993b12f0,18,ZEE
0x40e51e0ec04283e300f12f6bb98da157bb22036e,18,BLXM
0x4e6415a5727ea08aae4580057187923aec331227,18,FINE
0x3d0e22387ddfe75d1aea9d7108a4392922740b96,18,LOUD
0x431e0cd023a32532bf3969cddfc002c00e98429d,18,XCAD
0x32299c93960bb583a43c2220dc89152391a610c5,18,Kala
0x34ea3f7162e6f6ed16bd171267ec180fd5c848da,18,DND
0x47199d51a9f0dd669585f4ac2c327dac699289fd,18,ROYX
0x3dab450ee6451762e72647a05a205dd5697c5c2c,9,FSHIB
0x33778e87931ea8ee5b66776201533e40ddde1267,9,minitesla
0x33fea48c8e842a14c62df14c83c79e43dd6386ff,10,TOO
0x547cbe0f0c25085e7015aa6939b28402eb0ccdac,18,XBN
0x34195fd824355aec1bdceea97697b35be691bcb3,9,BSCGold
0x4aad6a01068c2621545d087a3c5281837112585b,9,$TIME
0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,18,VAI
0x4df7aa0853e863cdfbaed9bf396e01a724f5bf8c,9,DotUp
0x33a3d962955a3862c8093d1273344719f03ca17c,9,SPORE
0x5e0b09b04d6990e76dfe9bf84552a940fd0be05e,18,REX
0x580655e2c6d4fc125c0b2d37b2a3e56219bf9f78,9,GAL
0x50ba8bf9e34f0f83f96a340387d1d3888ba4b3b5,18,ZMBE
0x52419258e3fa44deac7e670eadd4c892b480a805,9,STARSHIP
0x5eef8c4320e2bf8d1e6231a31500fd7a87d02985,18,FOMO
0x5dd848e521ab53139c54c0540e5ca576b9cf6f88,18,SETLDIGITAL
0x5dd1e31e1a0e2e077ac98d2a4b781f418ca50387,18,ZLW
0x337e35ed5b38d5c7ec9f8d7cf78fe7f43d7dec6f,9,NOTSAFEMOON
0x5a3010d4d8d3b5fb49f8b6e57fb9e48063f16700,18,BSCPAD
0x35192603f5fce7f656eb1e250e2018f8fc9b9dc1,18,EAN
0x62cadd5cccd8900ffbac8f1511bafa0230575b66,18,SMC
0x6e988f0cb3d1118c9038ca04a5eb7bad737d39e6,9,SQUID
0x65ad6a2288b2dd23e466226397c8f5d1794e58fc,18,GFX
0x6a6ccf15b38da4b5b0ef4c8fe9fefcb472a893f9,18,MNST
0x7514c96cf64e672092000cc31d8178c82316291d,4,$DOGEN
0x6c5ff116bffc50ff59d0334d5643e15b71c6414a,18,THS
0x717fb7b6d0c3d7f1421cc60260412558283a6ae5,18,TAG
0x580cf2c36b913228dd0194a833f0ead8938f18ae,6,KIT
0x6fb1e018f107d3352506c23777e4cd62e063584a,18,IDTT
0x72b7d61e8fc8cf971960dd9cfa59b8c829d91991,18,AQUA
0x686318000d982bc8dcc1cdcf8ffd22322f0960ed,18,OPUL
0x76aecb353abf596bd61ee6bdb07d70787dec4fd6,9,CURE
0x7801079014641434c96bec7ec0f9cc6dc83363e8,9,HORNY
0x330f4fe5ef44b4d0742fe8bed8ca5e29359870df,18,JADE
0x63f1adc728095464bfcaef2dd1ffe557e2e79774,9,Pump it
0x79f8e9862c5240f316fabf31e5406e497d65484d,9,BTCI
0x3c730718c97a77562866b5d29b33228c019eac68,9,BNBD
0x3d81473920de7f4eef8ec71e0121baea7fc5b6ca,10,FUR
0x37dfacfaeda801437ff648a1559d73f4c40aacb7,18,APYS
0x3aeff4e27e1f9144ed75ba65a80bdfee345f413e,9,BUMN
0x41770d97dd0d7949a43d6d461e58507616369112,9,TPX
0x436c52a8cee41d5e9c5e6f4cb146e66d552fb700,18,EQX
0x3757232b55e60da4a8793183ac030cfce4c3865d,18,YDR
0x6c625df902bfd1ef0247403966b3f2223f436bf0,18,SX
0x42f3008f6945f052c31e7680f7f78c512099b904,18,WALBT
0x394bba8f309f3462b31238b3fd04b83f71a98848,18,POCO
0x7517fa29fcbbf64aafda1690efa890441bcbc15b,9,MOONSHOOT
0x4492ca0aff6d603e18aea5075b49a5ff76b9ea06,9,FG
0x4437743ac02957068995c48e08465e0ee1769fbe,18,FTS
0x6eb52af9541bc5a7e9f671daecd300cb55831a1e,0,BabyDogo
0x74926b3d118a63f6958922d3dc05eb9c6e6e00c6,18,DOGGY
0x4798cdca1ac6a3e721e29a256e1606022f08561e,9,FPB
0x49d8322f51aa6312c0968517fb11f93127b038fc,18,BEAN
0x4691937a7508860f876c9c0a2a617e7d9e945d4b,18,WOO
0x81e4d494b85a24a58a6ba45c9b418b32a4e039de,18,MOONTOKEN
0x79b30a9f25733af509366dbe7612634e334d4279,9,CZD
0x4cf23f9bc7843222ee056d8404cef7428727eb24,9,BLAUNCH
0x45b41bf48eb20466737b4605393734e9165d4b98,9,REDDOGE
0x7c4f83697da7341e2e6766fede02f3b685343551,9,SQUIDGAMES
0x41171d5770c4c68686d1af042ada88a45b02f82b,18,TWX
0x80b72c9350dd7db089c1dab13d7ac5c366495c42,18,Bim
0x52ce071bd9b1c4b00a0b92d298c512478cad67e8,18,COMP
0x76e08e1c693d42551dd6ba7c2a659f74ff5ba261,18,Shak
0x85d3092d97dc9ff9caf6f5c89908fe3972616c22,18,VFLOKI
0x8282c1daa19ee23276f307b8f4aff5002af53211,18,BIDEN
0x842668e2b9a73240abf6532dedc89c9c3e050c98,9,LIGHT
0x8780fea4c6b242677d4a397fe1110ac09ce99ad2,18,BIRD
0x595b7b9ec659a8c0583a2bf457d47e3f782de6e4,9,GRMT
0x7e52a123ed6db6ac872a875552935fbbd2544c86,6,SYL
0x5466a1283ab1f85dc2b3969f2a454493e82d2abd,9,GDGO
0x86a45b508a375ac8f0fd387e7532b70f71291152,9,EMP
0x5d6cdf1b7f7c35eae688e4c563b6f16eeac2cb6b,9,SMOON
0x40d893bb01282e1bc4f814ddc4dde64ccdd275d1,18,CYO
0x5f7b680de12d3da8eab7c6309b5336ca1ef04172,9,KALA
0x810ee35443639348adbbc467b33310d2ab43c168,18,CYC
0x846f52020749715f02aef25b5d1d65e48945649d,18,UMB
0x8cf8238abf7b933bf8bb5ea2c7e4be101c11de2a,18,XPNET
0x8578eb576e126f67913a8bc0622e0a22eba0989a,9,PANDA
0x48087391f98a8d163095df338fd335d5efc2aed8,9,NSHIB
0x8952fa452f0792c53ec0cda95cbbefece72ecfa7,7,POLFIN
0x57f239e1e62abd0f68d7b7c0fe11df25b3217d99,18,KCCM
0x45d0f429790bec7ad4b68330b1051c7b8fe9d8af,18,BSCAKE
0x5552d17c763e7b15a11184b4df93764e38459cc3,6,EEL
0x56045eb2bbd8eab5c5c23b4417aa6872add64714,18,TROLLER
0x524df384bffb18c0c8f3f43d012011f8f9795579,18,YAY
0x8a4840dc5975e424ec530ec88a8f27910a3cef51,18,4STC
