contract_address,decimals,symbol
0x0230a78221e8843b48f72ad6be14ae67b3884266,18,SVP
0x023cd4cbdd0731335464356ea080ba30cad5c161,9,NFTPOLY
0x023ebe18201f11baa183d90df0039aa4d8d1776d,18,tt5
0x0249536fda5c5d379dc70d50236dd9f3a414bb3b,18,TST
0x024472631e9da327c9288f72f115ed97779a285f,8,Fries
0x0249411013a0cc18e848e1db3f8e992ed5fa1196,18,CTK
0x0252eeaec128a9e0931b13d2306b4ee76460efee,9,PolyBake
0x025e64a71aa9f833f649b934d71a4724bb0a5bc0,18,BLZ
0x0265d354712e26c7e70d392eae85ce325471187b,18,SVE
0x025c3ede126cb1bd40ce85cd03271dcce4d98fa2,18,VIXA
0x02650994b5243465205835e94ec0b23374d15fe0,18,GARI
0x0266cf816e214a5bb0b95e97b8ee917376b314e6,18,axM
0x026a643687fe19e7034a259fa371ebc9be4a9d3b,9,Mario
0x026e07179f4403828bbda24d4e9a17a41358c089,18,FOX
0x02677c45fa858b9ffec24fc791bf72cdf4a8a8df,18,RicheSwap
0x027bc98332c00a180475f9c43f951062cfdf2da3,18,LoveDoge
0x0279eee698abc84ada3126be6441ed82f2460865,18,CIA
0x028aab80009420c762704e73999e34be08489837,9,BONE2
0x029c2bf9e5e7bf11328f045205308244e11efc46,18,POLR
0x029f86fa657e25ae267b283312066cfd4ff136fa,18,EMOJI
0x02a54bebad4d43df43c10f72a2cfb8781482a756,18,DEXTER
0x02b8b8bf9e2d229f3622e0f35ca4733bd3428cdb,18,CNUSD
0x0291dac90f31e7a8b8dd154d99c6587641fcf9d1,9,POLYHOLY
0x02ae9f3aca2dc03a32df46ab0361d124da4c0cad,18,NZXT
0x029e83448e24ed903a441ea198b944930955008b,18,BIG
0x02bf2b5c3bd830543fdc0e81af48942f611197de,9,QQ
0x02ce2376a8088f8db2d25d9cc2ae5c480e163647,18,PGL
0x02ac53a205e888329e82a37c670062fc3d147817,18,WISE
0x02d4f67b12cb6dea4d35b4f5a4ac91552ff36c26,18,Falcon
0x02c47a41c1c6e40564c5569e576253096d55ae25,18,POLYFIRE
0x02b1f80bbd6a563c165adcd20e75803d750a81ae,18,DPX
0x030a6b1da67963fc22265d8c6686d1878d581b6b,6,PASS
0x02bf854d58435cdf751964a285aebb9669e57115,9,pBUNNY
0x02c80515e8501ec5f7d078bcb96daf6c672306ba,6,USDC
0x02fa52e2969572e63280c7fd5cb40f38d8ceff1e,18,LEO
0x030d0dd61402a396d039ac6d03f3b44fd7c4e44c,18,YJHI
0x0325bf6889aa55f7d5f62619fdec3aa6d78308a8,18,SODA
0x0301e120585960497a1712d64c6e95a95af00d2b,18,OGRE
0x02e467b461b00d94427e4212c497a9ccc5685001,8,B11
0x033340ef9af7264502e9c1a13230266ef8b5779a,9,ICECREAM
0x032cb6dcfabb3844a2d87f7277e7bb40d1cd55b4,18,RAPTOR
0x031b59b66100b6a65be0557c4c73a13dd90f7771,18,mBOOBS
0x034d706c3af9d11f0ba90d9967947abeda7a5758,18,TMGO
0x03143749b08d2510d7ab8b1fe59c94fd37977114,6,USDT
0x03247a4368a280bec8133300cd930a3a61d604f6,18,RBAL
0x032fd1db105dcf3717a314ae825164c2ce642da3,18,MonoDoge
0x033d942a6b495c4071083f4cde1f17e986fe856c,4,AGA
0x03678f2c2c762dc63c2bb738c3a837d366eda560,18,XCASH
0x03324bbc860fbbfd452f6ac0b0b1d76deafc99a2,18,kUSD
0x034a3f3c74a5b18af1b06c6c4ddbc9d41f032f94,18,🌀POLYMER
0x034f8983d16b7a3e3fa47c5e4ed58319e8055b66,18,SIGMA
0x03778641dfa8d3866be44c72e203c6f45da1adc3,18,Husky Inu
0x032f85b8fbf8540a92b986d953e4c3a61c76d39e,18,TCP
0x034b2090b579228482520c589dbd397c53fc51cc,18,VISION
0x0361bdeab89df6bbcc52c43589fabba5143d19dd,18,dTOP
0x03b29965dcb0b679f5c6c231cb6df3d283d9e120,18,KOHL
0x0364c8dbde082372e8d6a6137b45613dd0f8138a,18,BEST
0x033ed4ee598d29ab831cd87e728a1062374e96e4,18,BAKAR
0x036ee7b99c77e7ce60634ea69c66b2381be4694c,18,BTEST
0x03bc46fca822e3bb549ea151a7cf4998dd032870,9,RHINO
0x037462f53bd0eaa2d79c23d9e6012788814350d1,18,IBY
0x03759ca91b76c0a84799b1557f7a727e843df98d,18,NADA
0x03524f3d1ca519d54b028809543853f6e664040c,9,PLY
0x03900ab9ddad91a26fea7f148271546db23bef08,9,TTR
0x03f1c8517bf4e808b6d3cc0d11fc594230d058e7,18,Mina Protocol
0x0395bbbef54c2676d5b1fa69aec4db5315556525,18,MBOX
0x03aa5daf9fd5f7f33c67afbcd53c1c1e87c4c9f7,18,HEO
0x036efc824d9d913f2a330eb86e5abd02dfbf878a,18,CROP
0x03b5c3530f7d0e1dfd934321f00b2cf4e978676d,18,BALL
0x03bba1f20cecbe6f396273ab15d5f9531eb53646,9,FIRE
0x03bc3f7affbe592e3f3502cf818aafb93b12334c,18,JUL
0x04116e248439b604fb4d8fff4516ce384ce31e8b,18,MIND
0x03943c3ef00d92e130185cebc0bcc435def2cc94,18,FM
0x03cba0cff3bf727711eae7ef11d152dce3163901,18,PRNTR
0x03e28ca3a0b471129cf16ba2070ad69fcf0e858d,18,autoUSD
0x03c2d1e0741d92775b84ec8cf0a7a88a15a397eb,18,KRWCAKE
0x0428866d0a687d945c86b15f22a9c9b66aadb58e,18,HOLE
0x03b95771c39f40a09b2ef56efc6e47d2b1bce123,18,CYX
0x0408c654e883074c827ec9808eecd1bde7b33636,18,BLT
0x040a96e3a789d3cae523415b3f6213d3a7dd8753,18,MDM
0x03f44f62591c5ca68027e82971b9ad535045f048,18,LIBRA
0x03cb0c7316171348e42db4e8a079d19cadb0448e,18,PANTHER
0x043f056aecdc6b975638374ee1266d66999245a5,18,FLOKIDOGE
0x041eaef2191daa68b81b091037a0dff83dcd2691,18,AGO
0x04278969979743ee80e4067b8e38c5185b75449b,18,POLYFARM
0x04027f4c1b184156f5515ba39038f9710183ecf2,0,Safematic
0x04151191f3b7ecdb85c38ee61e7747e8b93646b3,9,ZERENGUETI
0x0450a8b990eab8df2173b8cb73fc9e3b0e9b0097,18,HY
0x043892ce59a2aeed4ecd0900c5c122b462364c3c,18,UC
0x04387d8bade6e08ea9644847736b6110350c45a1,18,TKN1
0x041d5d7791f90cd26d55c8574fdc219b832e95e2,18,SIGMA
0x042d93de395e49105809cf0e2275ca05845bd98b,0,Polysmudge
0x04508416c7af5d6bb6e51e328f80748589c7ea46,18,PHARM
0x044cfcb1a50f92a571fc7fbdd24ed5911473a18e,9,Polyfi
0x046385d5c6aecb46cb3b028eb7eb3aa976ed1553,6,PRUEBA
0x042ef0cb78073a292682cc58c415c0a41f8cb98f,9,FLOKIS
0x0463618cbd0d154bb3a762e66efbcb06d98547c9,9,PMATRIX
0x045a17c2ad1fa49af10f122ab517762538c596ad,18,NIOXV2
0x044682a141725c45afd44c089f675cca2ad88ad7,18,POLYART
0x046df90f83856881e5c86f13d8b5d2fffc990f0f,18,EBI
0x044b1d3374eaf3bc31ef8970dd0220ab3a5958ff,18,LYR
0x046c5cee7fc778f9b8dc6f7eaff5cbe75427cddf,18,BLZ
0x0469e32f13bd6482f0875500381fc1197af1ab82,18,WHALE
0x04535ca1ffd227e7b8471c8e5e840e410cd9ada2,9,TEST3
0x049f12f5a27132d06de128d48a914f6d82d33d23,18,JulD
0x0458fb383b722747e480303b6487d9a8e4ca1ef9,18,KMONG
0x04872160ff5cd93461345a307a545cede3fbc399,18,DROP
0x049307ae467a14247831eebf6b96e8c6362455df,9,BDogePaid
0x0468c47c7a7850a05599cf3607010fc55aa49e41,9,HYG
0x04ae4ae7f9af802de5a2da9561948f6f24d4b043,18,BTT
0x0469b0585a674906d8202c86c9f9be53ad7a79e1,9,DICK
0x04a3df42536cbd4d926b6fbc525cc1f22c9c2a58,18,PCT
0x04ae3b72ab96608bb3a17c47b3b9c4174bdaf168,18,CNUSD
0x04739d6fc40807e09ce331143811435f8b5527cc,18,HORSE
0x04d5a0a6c33062aec305e04646c07a3836694235,18,TIKI
0x047fd3b3d2366f9babe105ade4598e263d6c699c,18,COUGAR
0x04cb168e2f91d2dcc78eeeddec49c19d4579593b,18,zxc
0x04d40befb0a3dfbf76c1b1157eb23865abdb6d0b,18,CST
0x04a23610f5a41f409aa2328004818bbb3d0d10dd,18,DEOXIS
0x04f2e3ec0642e501220f32fcd9e26e77924929a9,18,NALIS
0x04a3c5352a7901d1b8ab998a01262d14eb7c35ca,18,PantsuSwap
0x04efe5720f8029b0c23df04d6cd1be89ad39e2cd,18,POL
